Category,Example Text,Foreground,,Background,,Extra,Foreground,,,Background,,,Foreground (RGB for OSX),,,Backgroundground (RGB for OSX),,,""".""A9""{color:#""C9"";background:#""E9"";font-weight:""""",ec,236
,,Hex, RGB ,Hex,RGB,,RGB(R),RGB(G),RGB(G),RGB(R),RGB(G),RGB(G),RGB(R),RGB(G),RGB(G),RGB(R),RGB(G),RGB(G),,,
Category,Normal,DCDCCC," 220,220,204 ",3F3F3F,"63,63,63",,220,220,204,63,63,63,0.8627,0.8627,0.8000,0.2471,0.2471,0.2471,,,
Category,Boolean,DCA3A3," 220,163,163 ",,,,220,163,163,,,,0.8627,0.6392,0.6392,,,,,,
Category,Character,DCA3A3," 220,163,163 ",,,bold,220,163,163,,,,0.8627,0.6392,0.6392,,,,,,
Category,Comment,7F9F7F," 127,159,127 ",,,italic,127,159,127,,,,0.4980,0.6235,0.4980,,,,,,
Category,Conditional,F0DFAF," 240,223,175 ",,,bold,240,223,175,,,,0.9412,0.8745,0.6863,,,,,,
Constant,Constant,DCA3A3," 220,163,163 ",,,bold,220,163,163,,,,0.8627,0.6392,0.6392,,,,,,
Cursor,Cursor,000D18," 0,13,24 ",8FAF9F,"143,175,159",bold,0,13,24,143,175,159,0.0000,0.0510,0.0941,0.5608,0.6863,0.6235,,,
Debug,Debug,BCA3A3," 188,163,163 ",,,bold,188,163,163,,,,0.7373,0.6392,0.6392,,,,,,
Define,Define,FFCFAF," 255,207,175 ",,,bold,255,207,175,,,,1.0000,0.8118,0.6863,,,,,,
Delimiter,Delimiter,8F8F8F," 143,143,143 ",,,,143,143,143,,,,0.5608,0.5608,0.5608,,,,,,
DiffAdd,DiffAdd,709080," 112,14,128 ",313C36,"49,60,54",bold,112,14,128,49,60,54,0.4392,0.0549,0.5020,0.1922,0.2353,0.2118,,,
DiffChange,DiffChange,DCDCCC," 220,220,204 ",333333,"51,51,51",,220,220,204,51,51,51,0.8627,0.8627,0.8000,0.2000,0.2000,0.2000,,,
DiffDelete,DiffDelete,333333," 51,51,51 ",464646,"70,70,70",,51,51,51,70,70,70,0.2000,0.2000,0.2000,0.2745,0.2745,0.2745,,,
DiffText,DiffText,ECBCBC," 236,188,188 ",41363C,"65,54,60",bold,236,188,188,65,54,60,0.9255,0.7373,0.7373,0.2549,0.2118,0.2353,,,
Directory,Directory,DCDCCC," 220,220,204 ",,,bold,220,220,204,,,,0.8627,0.8627,,,,,,,
ErrorMsg,ErrorMsg,80D4AA," 128,212,170",2F2F2F,"47,47,47",bold,128,212,,47,47,47,0.5020,0.8314,0.0000,0.1843,0.1843,0.1843,,,
Exception,Exception,C3BF9F," 195,191,159 ",,,bold,195,191,159,,,,0.7647,0.7490,0.6235,,,,,,
Float,Float,C0BED1," 192,190,209 ",,,,192,190,209,,,,0.7529,0.7451,0.8196,,,,,,
FoldColumn,FoldColumn,93B3A3," 147,179,163 ",3F4040,"63,64,64",,147,179,163,63,64,64,0.5765,0.7020,0.6392,0.2471,0.2510,0.2510,,,
Folded,Folded,93B3A3," 147,179,163 ",3F4040,"63,64,64",,147,179,163,63,64,64,0.5765,0.7020,0.6392,0.2471,0.2510,0.2510,,,
Function,Function,EFEF8F," 239,239,143 ",,,,239,239,143,,,,0.9373,0.9373,0.5608,,,,,,
Identifier,Identifier,EFDCBC," 239,220,188 ",,,,239,220,188,,,,0.9373,0.8627,0.7373,,,,,,
IncSearch,IncSearch,385F38," 56,95,56 ",F8F893,"248,248,147",,56,95,56,248,248,147,0.2196,0.3725,0.2196,0.9725,0.9725,0.5765,,,
Keyword,Keyword,F0DFAF," 240,223,175 ",,,bold,240,223,175,,,,0.9412,0.8745,0.6863,,,,,,
Label,Label,DFCFAF," 223,207,175 ",,,underline,223,207,175,,,,0.8745,0.8118,0.6863,,,,,,
LineNr,LineNr,9FAFAF," 159,175,175 ",262626,"38,38,38",,159,175,175,38,38,38,0.6235,0.6863,0.6863,0.1490,0.1490,0.1490,,,
Macro,Macro,FFCFAF," 255,207,175 ",,,bold,255,207,175,,,,1.0000,0.8118,0.6863,,,,,,
ModeMsg,ModeMsg,FFCFAF," 255,207,175 ",,,,255,207,175,,,,1.0000,0.8118,0.6863,,,,,,
MoreMsg,MoreMsg,FFFFFF," 255,255,255 ",,,bold,255,255,255,,,,1.0000,1.0000,1.0000,,,,,,
NonText,NonText,404040," 64,64,64 ",,,,64,64,64,,,,0.2510,0.2510,0.2510,,,,,,
Number,Number,8CD0D3," 140,208,211 ",,,,140,208,211,,,,0.5490,0.8157,0.8275,,,,,,
Operator,Operator,F0EFD0," 240,239,208 ",,,,240,239,208,,,,0.9412,0.9373,0.8157,,,,,,
PreCondit,PreCondit,DFAF8F," 223,175,143 ",,,bold,223,175,143,,,,0.8745,0.6863,0.5608,,,,,,
PreProc,PreProc,FFCFAF," 255,207,175 ",,,bold,255,207,175,,,,1.0000,0.8118,0.6863,,,,,,
Question,Question,FFFFFF," 255,255,255 ",,,bold,255,255,255,,,,1.0000,1.0000,1.0000,,,,,,
Repeat,Repeat,FFD7A7," 255,215,167 ",,,bold,255,215,167,,,,1.0000,0.8431,0.6549,,,,,,
Search,Search,FFFFE0," 255,255,224 ",284F28,"40,79,40",,255,255,224,40,79,40,1.0000,1.0000,0.8784,0.1569,0.3098,0.1569,,,
SpecialChar,SpecialChar,DCA3A3," 220,163,163 ",,,bold,220,163,163,,,,0.8627,0.6392,0.6392,,,,,,
SpecialComment,SpecialComment,82A282," 130,162,130 ",,,bold,130,162,130,,,,0.5098,0.6353,0.5098,,,,,,
Special,Special,CFBFAF," 207,191,175 ",,,,207,191,175,,,,0.8118,0.7490,0.6863,,,,,,
